こんにちは。	Hello.	Note: When は is used as a particle (more on this later), it is pronounced as wa.	[sound:1.mp3]	こんにちは。			
こんにちは、鈴木。	鈴木: Most common last name in Japan.		[sound:2.mp3]	こんにちは、 鈴木[すずき]。			
こんにちは、鈴木さん。	さん: shows respect and politeness. Similar to Mr. or Ms. Can also be attached to first names, but usually attached to last names.		[sound:3.mp3]	こんにちは、 鈴木[すずき]さん。			
さようなら。	Farewell. Sayonara. Goodbye (feels final).		[sound:4.mp3]	さようなら。			
さようなら、博。	博: One of the most common male first names in Japan.		[sound:5.mp3]	さようなら、 博[ひろし]。			
じゃあまた。	Bye. See you later.		[sound:6.mp3]	じゃあまた。			
じゃあまた、博ちゃん。	ちゃん: usually attached to the end of a first name. Directed towards children and sometimes young women to show friendliness and intimacy. Also used between guys and girls to each other who are dating or in relationships. Sometimes used by guys to girls who are just friends.		[sound:7.mp3]	じゃあまた、 博[ひろし]ちゃん。			
バイバイ！	Bye. See you later.		[sound:8.mp3]	バイバイ！			
こんばんは、鈴木さん。	Good evening.	Note: When は is used as a particle (more on this later), it is pronounced as wa.	[sound:9.mp3]	こんばんは、 鈴木[すずき]さん。			
おはよう。	Good morning.		[sound:10.mp3]	おはよう。			
すみません。	I'm sorry. Excuse me.		[sound:11.mp3]	すみません。			
はい。	Yes (polite).		[sound:12.mp3]	はい。			
いいえ。	No (polite).		[sound:13.mp3]	いいえ。			
ありがとう、鈴木さん。	Thank you.		[sound:14.mp3]	ありがとう、 鈴木[すずき]さん。			
ありがとう・・・おやすみ。	おやすみ: Good night.		[sound:15.mp3]	ありがとう・・・おやすみ。			
ただいま!!	I'm home!		[sound:16.mp3]	ただいま!!			
おかえり！	Welcome home！		[sound:17.mp3]	おかえり！			
はじめまして。	Nice to meet you.		[sound:18.mp3]	はじめまして。			
よろしくお願いします。	It was nice meeting you. I look forward to working with you.		[sound:19.mp3]	よろしくお 願[ねが]いします。			
おはようございます。	Good morning.	ございます is attached to certain phrases to make them more polite.	[sound:20.mp3]	おはようございます。			
はい、ありがとうございます。	Thank you.	ございます is attached to certain phrases to make them more polite.	[sound:21.mp3]	はい、ありがとうございます。			
ありがとう・・・おやすみなさい。	なさい is attached to certain phrases to make them more polite.		[sound:22.mp3]	ありがとう・・・おやすみなさい。			
ただいま！おかえりなさい！	なさい is attached to certain phrases to make them more polite.		[sound:23.mp3]	ただいま！おかえりなさい！			
いただきます。	Bon appetite. Let's eat (while giving thanks).		[sound:24.mp3]	いただきます。			
